Time(s),ChunksFromAp,ChunksFromDevices,GoodActive,BadActive,Active
828,165,746,21,0,21
829,165,746,21,0,21
830,165,746,21,0,21
831,166,746,21,0,21
832,166,746,21,0,21
833,166,746,21,0,21
834,166,746,21,0,21
835,166,746,21,0,21
836,167,746,21,0,21
837,167,746,21,0,21
838,167,746,21,0,21
839,167,746,21,0,21
840,167,746,21,0,21
841,168,746,21,0,21
842,168,746,21,0,21
843,168,746,21,0,21
844,168,746,21,0,21
845,168,746,21,0,21
846,169,746,21,0,21
847,169,746,21,0,21
848,169,746,21,0,21
849,169,746,21,0,21
850,169,746,21,0,21
851,170,746,21,0,21
852,170,746,21,0,21
853,170,751,21,0,21
854,170,751,21,0,21
855,170,756,21,0,21
856,171,756,21,0,21
857,171,761,21,0,21
858,171,761,21,0,21
859,171,761,21,0,21
860,171,761,21,0,21
861,172,761,21,0,21
862,172,761,21,0,21
863,172,761,21,0,21
864,172,761,21,0,21
865,172,761,21,0,21
866,173,761,21,0,21
867,173,761,21,0,21
868,173,761,21,0,21
869,173,761,21,0,21
870,173,761,21,0,21
871,174,761,23,0,23
872,174,761,23,0,23
873,174,761,23,0,23
874,174,761,23,0,23
875,174,761,23,0,23
876,175,761,23,0,23
877,175,761,23,0,23
878,175,761,23,0,23
879,175,761,23,0,23
880,175,761,23,0,23
881,176,761,23,0,23
882,176,761,23,0,23
883,176,761,23,0,23
884,176,761,23,0,23
885,176,761,23,0,23
886,177,761,23,0,23
887,177,766,23,0,23
888,177,766,23,0,23
889,177,766,23,0,23
890,177,766,23,0,23
891,178,766,23,0,23
892,178,766,23,0,23
893,178,766,23,0,23
894,178,766,23,0,23
895,178,766,23,0,23
896,179,766,23,0,23
897,179,766,23,0,23
898,179,766,23,0,23
899,179,766,23,0,23
900,179,766,23,0,23
901,180,766,23,0,23
902,180,766,23,0,23
903,180,766,23,0,23
904,180,766,23,0,23
905,180,766,23,0,23
906,181,766,23,0,23
907,181,766,23,0,23
908,181,766,23,0,23
909,181,766,23,0,23
910,181,766,23,0,23
911,182,766,23,0,23
912,182,766,23,0,23
913,182,766,23,0,23
914,182,766,23,0,23
915,182,766,23,0,23
916,183,766,23,0,23
917,183,766,23,0,23
918,183,766,23,0,23
919,183,766,23,0,23
920,183,766,23,0,23
921,184,766,25,0,25
922,184,766,25,0,25
923,184,766,25,0,25
924,184,766,25,0,25
925,184,766,25,0,25
926,185,766,25,0,25
927,185,766,25,0,25
928,185,766,25,0,25
929,185,766,25,0,25
930,185,766,25,0,25
931,186,766,25,0,25
932,186,766,25,0,25
933,186,766,25,0,25
934,186,766,25,0,25
935,186,771,25,0,25
936,187,771,25,0,25
937,187,771,25,0,25
938,187,771,25,0,25
939,187,771,25,0,25
940,187,771,25,0,25
941,188,771,25,0,25
942,188,771,25,0,25
943,188,771,25,0,25
944,188,771,25,0,25
945,188,771,25,0,25
946,189,771,25,0,25
