Algorithm,NetSize,MaxPar,Chunk count,Population,BadDevices,Experiment,Completion time
simu,201,33,10,20,0,4,1365
simu,201,33,10,20,0,5,1381
simu,201,33,10,20,0,6,1357
simu,201,33,10,20,0,7,1372
simu,201,33,10,20,0,8,1376
simu,201,33,10,20,0,9,1369
simu,201,33,10,20,10,10,1359
simu,201,33,10,20,10,1,1362
simu,201,33,10,20,10,2,1363
simu,201,33,10,20,10,3,1355
simu,201,33,10,20,10,4,1371
simu,201,33,10,20,10,5,1363
simu,201,33,10,20,10,6,1350
simu,201,33,10,20,10,7,1366
simu,201,33,10,20,10,8,1365
simu,201,33,10,20,10,9,1364
simu,201,33,10,20,20,10,2245
simu,201,33,10,20,20,1,2245
simu,201,33,10,20,20,2,2240
simu,201,33,10,20,20,3,2245
simu,201,33,10,20,20,4,2240
simu,201,33,10,20,20,5,2250
simu,201,33,10,20,20,6,2245
simu,201,33,10,20,20,7,2245
simu,201,33,10,20,20,8,2245
simu,201,33,10,20,20,9,2240
simu,201,33,10,30,0,10,1404
simu,201,33,10,30,0,1,1412
simu,201,33,10,30,0,2,1401
simu,201,33,10,30,0,3,1406
simu,201,33,10,30,0,4,1405
simu,201,33,10,30,0,5,1405
simu,201,33,10,30,0,6,1409
simu,201,33,10,30,0,7,1403
simu,201,33,10,30,0,8,1403
simu,201,33,10,30,0,9,1407
simu,201,33,10,30,10,10,1400
simu,201,33,10,30,10,1,1404
simu,201,33,10,30,10,2,1391
simu,201,33,10,30,10,3,1398
simu,201,33,10,30,10,4,1390
simu,201,33,10,30,10,5,1400
simu,201,33,10,30,10,6,1395
simu,201,33,10,30,10,7,1401
simu,201,33,10,30,10,8,1405
simu,201,33,10,30,10,9,1400
simu,201,33,10,30,20,10,2385
simu,201,33,10,30,20,1,2385
simu,201,33,10,30,20,2,2395
simu,201,33,10,30,20,3,2395
simu,201,33,10,30,20,4,2400
simu,201,33,10,30,20,5,2385
simu,201,33,10,30,20,6,2390
simu,201,33,10,30,20,7,2400
simu,201,33,10,30,20,8,2390
simu,201,33,10,30,20,9,2400
simu,201,33,10,40,0,10,1410
simu,201,33,10,40,0,1,1411
simu,201,33,10,40,0,2,1414
simu,201,33,10,40,0,3,1411
simu,201,33,10,40,0,4,1407
simu,201,33,10,40,0,5,1417
simu,201,33,10,40,0,6,1408
simu,201,33,10,40,0,7,1407
simu,201,33,10,40,0,8,1403
simu,201,33,10,40,0,9,1414
simu,201,33,10,40,10,10,1515
simu,201,33,10,40,10,1,1525
simu,201,33,10,40,10,2,1515
simu,201,33,10,40,10,3,1515
simu,201,33,10,40,10,4,1515
simu,201,33,10,40,10,5,1510
simu,201,33,10,40,10,6,1515
simu,201,33,10,40,10,7,1515
simu,201,33,10,40,10,8,1505
simu,201,33,10,40,10,9,1515
simu,201,33,10,40,20,10,2520
simu,201,33,10,40,20,1,2520
simu,201,33,10,40,20,2,2520
simu,201,33,10,40,20,3,2510
simu,201,33,10,40,20,4,2510
simu,201,33,10,40,20,5,2505
simu,201,33,10,40,20,6,2510
simu,201,33,10,40,20,7,2515
simu,201,33,10,40,20,8,2510
simu,201,33,10,40,20,9,2505
simu2,101,17,10,0,0,10,3320
simu2,101,17,10,0,0,1,3273
simu2,101,17,10,0,0,2,3272
simu2,101,17,10,0,0,3,3264
simu2,101,17,10,0,0,4,3311
simu2,101,17,10,0,0,5,3270
simu2,101,17,10,0,0,6,3319
simu2,101,17,10,0,0,7,3319
simu2,101,17,10,0,0,8,3274
simu2,101,17,10,0,0,9,3318
simu2,101,17,10,0,10,10,3323
simu2,101,17,10,0,10,1,3324
simu2,101,17,10,0,10,2,3322
simu2,101,17,10,0,10,3,3317
simu2,101,17,10,0,10,4,3317
simu2,101,17,10,0,10,5,3324
simu2,101,17,10,0,10,6,3325
simu2,101,17,10,0,10,7,3322
simu2,101,17,10,0,10,8,3317
simu2,101,17,10,0,10,9,3319
simu2,101,17,10,0,20,10,3323
simu2,101,17,10,0,20,1,3322
simu2,101,17,10,0,20,2,3317
simu2,101,17,10,0,20,3,3314
simu2,101,17,10,0,20,4,3322
simu2,101,17,10,0,20,5,3316
simu2,101,17,10,0,20,6,3324
simu2,101,17,10,0,20,7,3324
simu2,101,17,10,0,20,8,3326
simu2,101,17,10,0,20,9,3321
simu2,101,17,10,10,0,10,3138
simu2,101,17,10,10,0,1,3129
simu2,101,17,10,10,0,2,2971
simu2,101,17,10,10,0,3,2952
simu2,101,17,10,10,0,4,3140
simu2,101,17,10,10,0,5,3131
simu2,101,17,10,10,0,6,3151
simu2,101,17,10,10,0,7,3034
simu2,101,17,10,10,0,8,3141
simu2,101,17,10,10,0,9,3139
simu2,101,17,10,10,10,10,2803
simu2,101,17,10,10,10,1,2814
simu2,101,17,10,10,10,2,2762
simu2,101,17,10,10,10,3,2696
simu2,101,17,10,10,10,4,2677
simu2,101,17,10,10,10,5,2646
simu2,101,17,10,10,10,6,2779
simu2,101,17,10,10,10,7,2745
simu2,101,17,10,10,10,8,2675
simu2,101,17,10,10,10,9,2704
simu2,101,17,10,10,20,10,2701
simu2,101,17,10,10,20,1,2652
simu2,101,17,10,10,20,2,2642
simu2,101,17,10,10,20,3,2671
simu2,101,17,10,10,20,4,2697
simu2,101,17,10,10,20,5,2644
simu2,101,17,10,10,20,6,2667
simu2,101,17,10,10,20,7,2673
simu2,101,17,10,10,20,8,2650
simu2,101,17,10,10,20,9,2592
simu2,101,17,10,20,0,10,2853
simu2,101,17,10,20,0,1,2658
simu2,101,17,10,20,0,2,2945
simu2,101,17,10,20,0,3,2659
simu2,101,17,10,20,0,4,2668
simu2,101,17,10,20,0,5,2663
simu2,101,17,10,20,0,6,2848
simu2,101,17,10,20,0,7,2899
simu2,101,17,10,20,0,8,2946
simu2,101,17,10,20,0,9,2903
simu2,101,17,10,20,10,10,2638
simu2,101,17,10,20,10,1,2653
simu2,101,17,10,20,10,2,2655
simu2,101,17,10,20,10,3,2648
simu2,101,17,10,20,10,4,2637
simu2,101,17,10,20,10,5,2647
simu2,101,17,10,20,10,6,2661
simu2,101,17,10,20,10,7,2630
simu2,101,17,10,20,10,8,2643
simu2,101,17,10,20,10,9,2667
